title,date,location,relevance_score
GenAI Fund Hackathon,"Apr 09 - 17, 2026",Online,0.1454579
Aarsh,"May 11 - Jun 13, 2026",Online,0.1407442
RamHacks 2026,"May 12, 2026",Online,0.13721335
Kids for Kids Toronto Coding Club 2026,"Apr 01 - Aug 22, 2026",Toronto,0.13666019
DSOC : Summer Edition,"Jun 03 - 29, 2026",Online,0.13617839
InnovatorsX 2026,"Jun 05 - Jul 10, 2026",Online,0.13551946
BASK,"Jul 01 - 31, 2026",Online,0.13281548
Dev Clash,Online,Online,0.12840718
BluePMS Software Solutions PVT Hackathon,"Apr 13 - May 14, 2026",Online,0.12489388
Drexel IEEE,"Jul 17 - 19, 2026",Online,0.1226553
Vitalitics 2026,"Jun 17 - Sep 01, 2026",Online,0.122052945
Web HackJPS,"Apr 18 - 19, 2026",Online,0.121785305
FSF Case Conclave,"May 26 - 28, 2026",Online,0.120952606
Quantum Sprint,"Mar 28 - Apr 14, 2026",Online,0.119225286
Berea College Hackathon,"Apr 11 - 12, 2026",Online,0.11767768
Web Champ 2026,14 days left,Online,0.11517678
Hack Club,"Aug 08 - 09, 2026",Online,0.113751076
University of Newcastle,"Apr 17 - 18, 2026",Online,0.110562295
Web BrailleVision Hackathon,"Apr 24 - 25, 2026",Online,0.10709784
csforeach,"May 31 - Jun 10, 2026",Online,0.1045896
HardwareHacks 2026,King’s College London Jun 0,Online,0.09487014
Quantum InnovatorsX: Startup Sprint 2026,8 days left,Online,0.09371518
0-1,"Apr 10 - 14, 2026",Online,0.092549525
INNOSpark Pitch Competition,"Mar 01 - Apr 04, 2026",Online,0.09143626
"Claude Builders Club @ UW, Lavin E, ESEC","Apr 15 - 24, 2026",Online,0.08596506
Tecnoviz Dev Comm,"Jun 28 - Jul 02, 2026",Online,0.08519784
ML Empowerment Foundation,"Jun 30 - Jul 31, 2026",Online,0.08186478
Quantumhack,"Apr 11 - 12, 2026",Online,0.08146743
PeddieHacks,"Aug 14 - 16, 2026",Online,0.08105381
Esri's Weekend of Innovation 2026,Up,Online,0.07487839
BluePrint 2026 - Hackthon for freshers and Students,"Nov 18, 2025 - Feb 22, 2026",Online,0.070058234
Binnovative,"Jun 14 - Sep 12, 2026",Online,0.06707691
GTPN,"Aug 07 - 09, 2026",Online,0.06501409
katyhacks,"Aug 01 - 03, 2026",Online,0.06278629
Next Bytes 2026,"Jun 15 - Jul 15, 2026",Online,0.061168265
BuunieX Hackathon,20 days left,Online,0.05598005
Student Innovators Without Borders 2026,"May 04 - Aug 01, 2026",Online,0.05218852
Africa Digital ID Hackathon 2026,"Nov 18, 2025 - Feb 22, 2026",Online,0.04699187
